"No.","Time","Source","Destination","Protocol","Length","Info"
"41","7.976628016","2404:6800:4003:c03::bc","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","174","Application Data"
"42","7.976667347","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4003:c03::bc","TCP","86","37690  >  5228 [ACK] Seq=791 Ack=4436 Win=64256 Len=0 TSval=2851746210 TSecr=2446439966"
"43","7.988337669","2404:6800:4003:c03::bc","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","120","Application Data"
"44","7.988376112","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4003:c03::bc","TCP","86","37690  >  5228 [ACK] Seq=791 Ack=4470 Win=64256 Len=0 TSval=2851746222 TSecr=2446439978"
"45","8.607307665","192.168.42.252","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"46","9.568959253","2401:4900:1b1d:d5de:dcb8:2c34:cee7:e44b","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"47","9.608481231","192.168.42.252","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"48","10.607781144","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"49","10.607958345","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"50","10.608509485","192.168.42.252","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"51","10.698815000","192.168.42.252","192.168.42.129","DNS","89","Standard query 0x820c AAAA connectivity-check.ubuntu.com"
"52","10.700656957","192.168.42.129","192.168.42.252","DNS","89","Standard query response 0x820c AAAA connectivity-check.ubuntu.com"
"53","10.759549131","192.168.42.252","192.168.42.129","DNS","89","Standard query 0x9c12 AAAA connectivity-check.ubuntu.com"
"54","10.760664192","192.168.42.129","192.168.42.252","DNS","89","Standard query response 0x9c12 AAAA connectivity-check.ubuntu.com"
"55","10.762008991","192.168.42.252","192.168.42.129","DNS","89","Standard query 0x3e9e AAAA connectivity-check.ubuntu.com"
"56","10.762500945","192.168.42.129","192.168.42.252","DNS","89","Standard query response 0x3e9e AAAA connectivity-check.ubuntu.com"
"57","11.612688023","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"58","11.612792537","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"59","11.846026335","192.168.42.252","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"60","12.621019840","192.168.42.252","192.168.42.129","DNS","87","Standard query 0x346b PTR 208.43.168.192.in-addr.arpa"
"61","12.621988336","192.168.42.129","192.168.42.252","DNS","87","Standard query response 0x346b No such name PTR 208.43.168.192.in-addr.arpa"
"62","12.633335928","192.168.42.252","192.168.42.129","DNS","83","Standard query 0xbc83 PTR 1.0.17.172.in-addr.arpa"
"63","12.634402817","192.168.42.129","192.168.42.252","DNS","83","Standard query response 0xbc83 No such name PTR 1.0.17.172.in-addr.arpa"
